Velthuis			
अ 	a 	a 	
आ 	ā 	aa 	A 
इ 	i 	i 	
ई 	ī 	ii 	I 
उ 	u 	u 	
ऊ 	ū 	uu 	U 
ए 	e 	e 	
ऐ 	ai 	ai 	
ओ 	o 	o 	
औ 	au 	au 	
ऋ 	ṛ 	.r 	
ॠ 	ṝ 	.rr 	
ऌ 	ḷ 	.l 	
ॡ 	ḹ 	.ll 	
अं (added as anusvāra) 	ṃ 	.m 	
अः 	ḥ 	.h 	
अँ (chandrabindu) 		/ 	~m 
् (virāma/halant)		& 	
ऽ (avagraha:elision during sandhi)		.a 	
Om 		O 	
क 	ka 	ka 	
ख 	kha 	kha 	Ka 
ग 	ga 	ga 	
घ 	gha 	gha 	Ga 
ङ 	ṅa 	"""na "	
च 	ca 	ca 	
छ 	cha 	cha 	Ca 
ज 	ja 	ja 	
झ 	jha 	jha 	Ja 
ञ 	ña 	~na 	
ट 	ṭa 	.ta 	
ठ 	ṭha 	.tha 	.Ta 
ड 	ḍa 	.da 	
ढ 	ḍha 	.dha 	.Da 
ण 	ṇa 	.na 	
त 	ta 	ta 	
थ 	tha 	tha 	Ta 
द 	da 	da 	
ध 	dha 	dha 	Da 
न 	na 	na 	
प 	pa 	pa 	
फ 	pha 	pha 	Pa 
ब 	ba 	ba 	
भ 	bha 	bha 	Ba 
म 	ma 	ma 	
य 	ya 	ya 	
र 	ra 	ra 	
ल 	la 	la 	
व 	va 	va 	
श 	śa 	"""sa "	
ष 	ṣa 	.sa 	
स 	sa 	sa 	
ह 	ha 	ha 	
क्ष 	kṣa 	k.sa 	
त्र 	tra 	tra 	
ज्ञ 	jña 	j~na 	
श्र 	śra 	"""sra "	
