index	pali_chant	english_chant	chapter	link
1	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem	https://docs.google.com/document/d/1hBa7NGk8IaNqHDZlL-ZY-N86Fvh_qhQ8_N5veea-b04/
2	Pubbabhāga-namakāra	Preliminary Homage	Homage to the Triple Gem	https://docs.google.com/document/d/1qs2YbSMxL9-JWrfmiHiQvrI8uXDLGWxtN_GuON9QNHI/
3	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	https://docs.google.com/document/d/1G0cf4f_yaFlyAOfrPMnQAmtwpT2rzkHN48DwTomih0U/
4	Dhamm'ābhitthuti	Homage to the Dhamma	Homage to the Triple Gem	https://docs.google.com/document/d/1__RKdOoq-VLAv_M-ccaYxFhQfE4Jyesi4mMLJp13etE/
5	Saṅgh'ābhitthuti	Homage to the Saṅgha	Homage to the Triple Gem	https://docs.google.com/document/d/1H7zzd88MbMt0E2FQQCYUYmWkkEzqmEtnylzrW6bsDZA/
6	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem	https://docs.google.com/document/d/1FZritL3lekZ03J18QaES2qQO2PNA8_CoUbroAgpspOs/
7	Buddha-paṭhama-bhāsita	The Buddha's First Exclamation	Verses	https://docs.google.com/document/d/1UFig1lS1oYwvJ5uQ3nnugGIvqaBq7aOe7xMRdVOA1tQ/
8	Dhamma-gārava	Respect for the Dhamma	Verses	https://docs.google.com/document/d/1CDTtwFmcyBJqrIQwROcMsqM8qXGzvyc5SFZjKOLaTXs/
9	Khem'ākhema-saraṇa-gamana	Going to True and False Refuges	Verses	https://docs.google.com/document/d/1JAn5R2GYxBIYydbgKRHj1SbTelKfW8zn8Y2eeQTJ3j8/
10	Ovāda-pāṭimokkha-gāthā	The Pāṭimokkha Exhortation	Verses	https://docs.google.com/document/d/1DRd--uBllLKAIX45M0zpVcGaC3km5QQAfGw4hlJXPkw/
11	Ti-lakkhaṇā	The Three Characteristics	Verses	https://docs.google.com/document/d/1O-gl_VRZgcaNk-xAr4HdGfm8-cj1SB5GksOQEtH7hrw/
12	Bhārā	The Burdens	Verses	https://docs.google.com/document/d/1vA6BoYgbZI-aZmrl6ycQYn3OA7V15C1FxuskJ99KvqA/
13	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses	https://docs.google.com/document/d/10_48SNuskQ4Kca6GitWP1KMDUGFGrt4YK0X9nFTQw2I/
14	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses	https://docs.google.com/document/d/17HAQkJVQCbO17uxjdykiPNCCtr8UAG6wbnC77mXKyFM/
15	Tāyana-gāthā	On Protection	Verses	https://docs.google.com/document/d/14MHZEf2m20r5JaIeGy3wr-tW7y5bFd8097_e1GfGdzQ/
16	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses	https://docs.google.com/document/d/1iX2GcszvFqjhwIaEstFGWQUMPyj-ZLCu9aJ5XZ6Mw9g/
17	Bhadd'eka-ratta	A single Excellent Night	Verses	https://docs.google.com/document/d/1r2_xKy7oZ37tCIQEka2VJDEhebVCbRXkPGsVxUNd854/
18	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings	https://docs.google.com/document/d/1hfC4NyprTtz5cUzTEpSTYIal9ISo865T1J6UFqndRHM/
19	Anupubba-sikkhā	The Gradual Training	Teachings	https://docs.google.com/document/d/1iBdxJtAW7hi7ZJ_9mSdFNjRbEo7s6v6FiR4Bn_1QKn4/
20	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings	https://docs.google.com/document/d/1nRjJxWbGezi59s0DxfDBLTjX1dHdTSKWXD5EdzzZ5Us/
21	Satta-sambojjhaṅgā	The Seven Factors of Awakening	Teachings	https://docs.google.com/document/d/1rkmaVq4F5Gdij2Fx0EaV_sLZ0b4tmOAdK4KIMsb92xw/
22	Ariy'aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	https://docs.google.com/document/d/1iLE6dQYsOTB6SBYrynj4sdU5d0cucFdbN3-MdkT8BQ4/
23	Ānāpānassati	Mindfulness of Breathing	Teachings	https://docs.google.com/document/d/14YbehN068gRVLzkMOcJNLy_q3S7nmAM5v7NuGhEBypQ/
24	Paṭicca-samuppāda	Dependent Origination	Teachings	https://docs.google.com/document/d/1HPPHW8vBvmjBW4h-bh88LbKcax0Z0YQ6in-8FB4HnUA/
25	Saṅkhitta-dhamma	The Dhamma in Brief	Teachings	https://docs.google.com/document/d/1rdNfUNiwEfSMfGoj2Kb85ZZXsrP-MwJlfvOs-PXaqsc/
26	Cattāro mahāpadesā	The Four Great References	Teachings	https://docs.google.com/document/d/1nNkWqfwM9bEZ-6SHqobisIPHIcMWqB08GbY62nxpugU/
27	Cha sāraṇīya-dhammā	Principles of Cordiality	Teachings	https://docs.google.com/document/d/1Hye1mXDVZfVSejNz7vRzSbwAwfKgr4zXHtepvhzH0Vs/
28	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	https://docs.google.com/document/d/1hx5Bltz4dm6VrAZeqB-8Rf9oz139BocrWriPtjsm5i0/
29	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	https://docs.google.com/document/d/1ZA6z8tv6mFZLEKmShP5DZxqqq8Rp8uT3SIscPloW3Ys/
30	Buddha-pacchima-ovāda	The Buddha's Final Instruction	Teachings	https://docs.google.com/document/d/1eIuWXJAliDG0v-HpJUDRI7ZrlgNH4RfbE2marMrq38c/
31	Cattāro parikkhārā	The Four Requisites	Reflections	https://docs.google.com/document/d/1azl8a1Y5kSXxYFKXc-R8c29J0J_NEBAtmXvSHIkY8zo/
32	Āhāra-paṭikūla-paccavekkhaṇa-pāṭho	The Repulsiveness of Food	Reflections	https://docs.google.com/document/d/1bLJ3tYzSSWpfigqewEVIxtTq3H_9azz2Ch0CLZYOdzs/
33	Mettā-pharaṇa	Universal Well-Being	Reflections	https://docs.google.com/document/d/1VlYGVeSDtx8tavnXCmgee4J6-Py3eH9DbJ2nwY23HNk/
34	Brahmavihārā	The Divine Abidings	Reflections	https://docs.google.com/document/d/1uOHGOyp_ydFd54V88oczlgnkBdJvD9pbNq42gauRm90/
35	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Reflection	Reflections	https://docs.google.com/document/d/19nhhk-fkG8oUwE_mkNLV1ja_WmaskRqgKVaOreY8XSY/
36	Dasadhammā pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Reflection by One Who Has Gone Forth	Reflections	https://docs.google.com/document/d/1-6yapQqB0s7WdX7GijzXCeni5QmPhp4Xd7lVqovaNcA/
37	Dvattiṃs'ākāra-paccavekkhaṇa	The Thirty-Two Parts	Reflections	https://docs.google.com/document/d/193i-Z1sEgIkPK9YkBvn-TSMI7b-8QQIsbXqkN_cgZ2g/
38	Anicc'ānussati	Recollection of Impermanence	Reflections	https://docs.google.com/document/d/1d59_2DrZ1axq39iXItJaI17oPnUd-tZ_8Heebu0bo9c/
39	Dhammacakkappavattana-sutta	The Discourse on Setting in Motion The Wheel of Dhamma	Cardinal Suttas	https://docs.google.com/document/d/1Z3OEsxHS1bbuUqhU6jI0xWe7LPtJr3pfWUUmpsYG3Lw/
40	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas	https://docs.google.com/document/d/1KUqsOrCtCGxZm9gvaBuQutMhv6N9ak0aJ-USkaGBjPc/
41	Āditta-pariyāya-sutta	The Fire Sermon	Cardinal Suttas	https://docs.google.com/document/d/1noiUsphrtvNqz21Oqu7EcVFMOaQ93fcEYErqWbWdipk/
42	Yathā vāri-vahā pūrā	Just as Rivers Full of Water	Thanksgiving Recitations	https://docs.google.com/document/d/1jl6cXyM2U9BJQ3AB-rdYzVPIi_deRHQrlkPJtWNxHHw/
43	Ratanattayānubhāv'ādi-gāthā	Verses Starting with the Power of the Triple Gem	Thanksgiving Recitations	https://docs.google.com/document/d/1MyHG0kafRuRsLlSFDhcVCJrRyMDwXEBRNIyoB5MAGiE/
44	Bhojana-dānānumodanā	Rejoicing in the Giving of Food	Thanksgiving Recitations	https://docs.google.com/document/d/1amk8x8220lTo3RsXYBr09waNd2Rii844vSOQxhZ1hko/
45	Culla-maṅgala-cakka-vāḷa	Short Blessings of the Entire World	Thanksgiving Recitations	https://docs.google.com/document/d/11IhgUlqr0s29u2NmJP7yklHQ31VPdUUlTtLidwUM8rI/
46	Aggappasāda-sutta-gāthā	Verses from the Discourse on Confidence in the Supreme	Thanksgiving Recitations	https://docs.google.com/document/d/1zLA7PLmN_uuhWQyzDRAyuGDcMZsTlnHbXSuvT4qyVbE/
47	Kāla-dāna-sutta-gāthā	Verses from the Discourse on Giving at the Proper Time	Thanksgiving Recitations	https://docs.google.com/document/d/1smMeRSKEqTywbpTQexaVWwlM0ItftEwS9Fs9922ieJU/
48	So attha-laddho	He Who Gains Benefits	Thanksgiving Recitations	https://docs.google.com/document/d/1iISQ3e2TaL4qS0jYmuu8qDzW2MxbGdPaLtTmDp2zwiw/
49	Devā-ārādhanā	Invitation to the Devas	Protective Recitations	https://docs.google.com/document/d/1g85wBs0kuJF51coQzQSBOdfbqFewAi749Th9jJqaVhw/
50	Saraṇa-gamana-pāṭho	Passage on Going for Refuge	Protective Recitations	https://docs.google.com/document/d/1qarpYYFa8xjdol-gArglIkMiGg4jhIyrDmEafHDxnQM/
51	Nama-kāra-siddhi-gāthā	Verses on Triumph by Paying Homage	Protective Recitations	https://docs.google.com/document/d/1TqoCXbkwz4riPWFvy_ZO2v0kssEH_XqcaunthB1uXac/
52	Namo-kāra-aṭṭhaka	Paying Homage to the Octad	Protective Recitations	https://docs.google.com/document/d/1Y0drkOWgO2AKOHvWtnn2huc7QAyFyUSPZ_UzCJGnZZM/
53	Maṅgala-sutta	The Discourse on Blessings	Protective Recitations	https://docs.google.com/document/d/1U96ujGucaUwKziqm0FNCg4u2e55oGH2ZGMP1IEsuZoQ/
54	Ratana-sutta	The Discourse on Jewels	Protective Recitations	https://docs.google.com/document/d/1GE9J6Ws1ezWHxGQ5hJeFabPIoHONt7Gzrt86UNYNR4s/
55	Karaṇīya-metta-sutta	The Discourse on the Loving-Kindness to be Done	Protective Recitations	https://docs.google.com/document/d/1iLTSvK02-i-V2EfiMOXs_z8X-Tf2as06dVe2AuYBREo/
56	Khandha-parittaṃ	Protection of the Aggregates	Protective Recitations	https://docs.google.com/document/d/1o2cDWXsgpJXm2d00woMNvsfk3Q35s5j9-DVV170bkgo/
57	Buddha-dhamma-saṅgha-guṇā	Qualities of the Buddha, Dhamma, and Saṅgha	Protective Recitations	https://docs.google.com/document/d/19-2G8AGp2rzbPWVBwCoaVBmmYflR-nWfzTXruZLnhL0/
58	Yaṅ'kiñci ratanaṃ loke	Whatever Kind of Jewel in the World	Protective Recitations	https://docs.google.com/document/d/1tZRlAb7uXunf6WLBV8do4WfYvu5bSfgzRBoihH-TxAQ/
59	Bojjh'aṅga-parittaṃ	Protection of the Factors of Awakening	Protective Recitations	https://docs.google.com/document/d/1h7cHObJNGE9u5-CCT-LF7MkC1Q84Y1REf9KVBW6uW-U/
60	Abhaya-parittaṃ	Protection for Safety	Protective Recitations	https://docs.google.com/document/d/1EroYaPHLfct3o2lq6LKFHXU109N82ZRLK5LnWLqdHVE/
61	Devatā-uyyojana-gāthā	Verses on Dismissing Evil Spirits	Protective Recitations	https://docs.google.com/document/d/1qQEYoxa_oRZmOnsoqttotDXwHXramcSz2taM4FLPRsA/
62	Jaya-maṅgala-aṭṭha-gāthā	Verses on the Eight Victory Blessings	Protective Recitations	https://docs.google.com/document/d/1XQQQ4hLZG2eZrMUxhLSrIK0VGnLhCIBKV84dLGyd7a4/
63	Jaya-parittaṃ	Protection for Victory	Protective Recitations	https://docs.google.com/document/d/17RA0WdLByrYBIYfh1d7Ls01W7bE6eBvWzVkHRLOe0nM/
64	Bhavatu-sabba-maṅgalaṃ	May Every Blessing Come to Be	Protective Recitations	https://docs.google.com/document/d/1DS0c0ep8vLOUg1yUF0wVuWEZQpXe8WpkpHpQE2Jmb6I/
65	Dhamma-saṅgaṇī-mātikā	Outlines from the Enu meration of Phenomena	Funeral Chants	https://docs.google.com/document/d/1tAjTkFUMsVGKN7o7EpKHDZ360bs6Nae7m7Q8xwKYfng/
66	Vipassanā-bhūmi-pāṭho	Passage on the Ground for Distinct Seeing	Funeral Chants	https://docs.google.com/document/d/1cbIebgBU_PDgVP3lIRsirGy9mqnetkNXXVnpnKjEFXI/
67	Paṭṭhāna-mātikā-pāṭho	Passage on the Outlines from the Foundation of Conditional Relations	Funeral Chants	https://docs.google.com/document/d/1UZuznVdxRvvqdhjRk6gNjfmhnj3p14yVyziHmyKsy6c/
68	Adāsi-me ādi gāthā	"Verses Starting with ""He Gave to Me"""	Funeral Chants	https://docs.google.com/document/d/1DMMEOoykXO5Hjwl8D7lrG-F5jNvKoq2g_m2HZY6snsU/
69	Maraṇa-paccavekkhaṇā	Reflections on Death	Funeral Chants	https://docs.google.com/document/d/1lxxbDwwp3j9D-LNlkwvfqX7oECJPQuiETAZ7F53Y2ag/
70	Uddissan'ādhiṭṭhānā	Sharing and Aspirations	Sharing of Merits	https://docs.google.com/document/d/1nf7AbjIPgWQUwyaWWImr_0HT-mdMbXE_kiySAyS0RAg/
71	Sabba-patti-dāna	Sharing of All Merits	Sharing of Merits	https://docs.google.com/document/d/1tXjzVuW0ezuEqgUEQnmoil1-RNYMBFGajjwrtB5LKi8/
72	Peta-patti-dāna	Sharing of Merits with the Departed	Sharing of Merits	https://docs.google.com/document/d/1p3BdcL0gXNHy9T1dXX-8AAHuOgxlpXjBMY8WLAwQUL4/
73	Devata-patti-dāna	Sharing of Merits with the Devas	Sharing of Merits	https://docs.google.com/document/d/1FEvRHPJWVAiMP94NSH6vKhyzSOb_EOX4Je1A-_Vg17c/
74	Paramāya pūjāyañ'ca paṇidhiñ'ca	The Highest Honour and Aspirations	Sharing of Merits	https://docs.google.com/document/d/1snej2MNlaEtPH-f_4Gv8YpFleifo-Uz3f17XEkbYUw4/
75	Pubbakicca	Preliminary duty	International Pātimokkha	https://docs.google.com/document/d/1z4B3TELrZlVemxP_gB0ciampFTIOS5hL/
76	Pubba-bhāga	Preliminary Homage	Post Pātimokkha	https://docs.google.com/document/d/1Qzh_BTJgg-YSxGMyEyu1TciVSX_lVg3arSzD_Vtf_Fg/
77	Sīl'uddesa-pāṭha	Recitation of virtue	Post Pātimokkha	https://docs.google.com/document/d/1Qzh_BTJgg-YSxGMyEyu1TciVSX_lVg3arSzD_Vtf_Fg/
