sutta	name	link
mn107	Gaṇakamoggallāna Sutta	https://docs.google.com/document/d/1oW92myGIHzLypzNQGQPa0YeTGDfVq_Aogre8sLTRQuM/
mn107_	Gaṇakamoggallāna Sutta	https://docs.google.com/document/d/1oW92myGIHzLypzNQGQPa0YeTGDfVq_Aogre8sLTRQuM/
sn56	Sacca Saṃyutta	https://docs.google.com/document/d/1QvmDByxRI4hMT3C8EqrafaGoXC5HA_8kRn730-VtKjY/
sn56_	Sacca Saṃyutta	https://docs.google.com/document/d/1QvmDByxRI4hMT3C8EqrafaGoXC5HA_8kRn730-VtKjY/
sn22	Khandha Saṃyutta	https://docs.google.com/document/d/1kt-OP0fUHEjR4pmc72ZljK8XD9oirssI1fMvfTvOhKw/
sn22_	Khandha Saṃyutta	https://docs.google.com/document/d/1kt-OP0fUHEjR4pmc72ZljK8XD9oirssI1fMvfTvOhKw/
sn35	Saḷāyatana Saṃyutta	https://docs.google.com/document/d/1uyOA--pUQlHTzs1GWFQHorXkeVkwBEmJdWmPMBWoBXc/
sn35_	Saḷāyatana Saṃyutta	https://docs.google.com/document/d/1uyOA--pUQlHTzs1GWFQHorXkeVkwBEmJdWmPMBWoBXc/
sn12	Nidāna Saṃyutta	https://docs.google.com/document/d/1rSgxc6Hg8Pt63nU1fdG8j7QpobBRYbeDEE9KoZ9c6UQ/
sn12_	Nidāna Saṃyutta	https://docs.google.com/document/d/1rSgxc6Hg8Pt63nU1fdG8j7QpobBRYbeDEE9KoZ9c6UQ/
sn47	Satipaṭṭhāna Saṃyutta	https://docs.google.com/document/d/1h-Xhkskz1-gchNBDG08QQJ-AqUs-sIimSBnDizvMibQ/
sn47_	Satipaṭṭhāna Saṃyutta	https://docs.google.com/document/d/1h-Xhkskz1-gchNBDG08QQJ-AqUs-sIimSBnDizvMibQ/
sn46	Bojjhaṅgasaṃyutta Saṃyutta	https://docs.google.com/document/d/11674RA0aMFbJuzdJ8LpVQIb3FRXRuoVRuWZ7IPA70Xc/
sn46_	Bojjhaṅgasaṃyutta Saṃyutta	https://docs.google.com/document/d/11674RA0aMFbJuzdJ8LpVQIb3FRXRuoVRuWZ7IPA70Xc/
sn45	Maggasaṃyutta Saṃyutta	https://docs.google.com/document/d/1Efn0qcwgBoVdtx9GfU9Ia9lQYwMgYAjNvDyUVH9RlnM/
sn45_	Maggasaṃyutta Saṃyutta	https://docs.google.com/document/d/1Efn0qcwgBoVdtx9GfU9Ia9lQYwMgYAjNvDyUVH9RlnM/
sn43	Asaṅkhata Saṃyutta	https://docs.google.com/document/d/1yDVS30Mha1T5cQ0-AkDW0_LJ2QhDU-3tdrBq7byKJ5w/
sn43_	Asaṅkhata Saṃyutta	https://docs.google.com/document/d/1yDVS30Mha1T5cQ0-AkDW0_LJ2QhDU-3tdrBq7byKJ5w/
pat	Bhikkhu Pātimokkha	https://docs.google.com/spreadsheets/d/1rS-IlX4DvKmnBO58KON37eVnOZqwfkG-ot-zIjCuzH4/
vib	Bhikkhu Vibhaṅga	http://filesrv1:8083/vi/bi-vb.html#content
vib_	Bhikkhu Vibhaṅga	http://filesrv1:8083/vi/bi-vb.html#content
