id,pali_1,construction
5904,aṅgulimāla,aṅguli + māla
1497,accharā 1,accha + rā
3541,ajjhūpagata,adhi + upa + √gam + ta
11641,aṭṭhapadakata,aṭṭhapada + kata
11066,atimatta,ati + √mad + ta
11411,attano atthāya,attano + atthāya
11620,atthaṅgate sūriye,atthaṅgate + sūriye
8131,apajaha,na + pa + jaha + a
8749,apetaviññāṇa,apeta + viññāṇa
124,abbhatthaṃ gacchati,abhi + atthaṃ + gacchati
537,abhikkantadassāvī,abhikkanta + dassāvī
1091,abhitthavati,abhi + thava + ti
4655,amatadhātu,amata + dhātu
4340,alattakakata,alattaka + kata
4230,alaṃ 2,ala + aṃ
10352,asekkha 1,na + √sikkh + a
12101,avamaṅgala 1,ava + √maṅg + ala
12438,avīci 2,na + vīci
4696,āmavasesa,āma + avasesa
13015,āyuda,āyu + da
12701,āvisati 1,ā + visa + ti
12422,āvi ceva raho ca,āvi + ca + eva + raho + ca
25092,itthikā,itthī + kā
61790,ujjhitvā,√ujjh + itvā
64080,uttiṇa,ud + tiṇa
61152,udāhu,uda + aho
61407,uddhaggika,uddha + agga + ika
62588,upakappati,upa + kappa + ti
62411,upadesa,upa + √dis + *a
62756,upanandhi,upa + nandha + i
62284,upabhuñjaka 1,upa + bhuñja + ka
62942,upari 1,upa + ri
62999,uparūpari,upari + upari
61715,uhadati,ud + hada + ti
21746,ekūnatiṃsatima,eka + ūna + tiṃsati + ma
26267,kad,ku > kad
26727,kalyāṇī 2,kalyāṇa + ī
26858,kāmasukhallikānuyoga,kāmasukha + allika + anuyoga
27916,kāsikosalā,kāsi + kosala + ā
26197,kā 1.1,ku > kā
29543,kilesavatthu,kilesa + vatthu
30641,kuñjara,kuñja + ra
28800,khalitaṃ gaṇhāti,khalitaṃ + gaṇhāti
28799,khalitaṃ gāhayati,khalitaṃ + gāhayati
29402,khuramuṇḍa,khura + muṇḍa
22193,gada 2.2,√gad + a
22415,gāma 3,gāma + a
23764,guttika,√gup + ti + ka
16369,catuttiṃsati,catu + tiṃsati
16113,catuddasa,catu + dasa
16179,catumadhura,catu + madhura
16382,catuvīsati,catu + vīsati
16067,cattālīsati,catu + dasa + *ti
16114,cātuddasa 1,catu + dasa + *a
17630,cuṇṇakamakkhita,cuṇṇaka + makkhita
16796,chandāraha,chanda + araha
16615,chabbīsati,cha + [l] + vīsati > bīsati
16930,chavi 1,√chad > chav + i
25964,jinasāsana,jina + sāsana
35842,ñātidhamma,ñāti + dhamma
60618,ṭṭha,√ṭhā + a
59386,tāvakālika,tāva + kālika
60176,tikoṭiparisuddha,ti + koṭi + parisuddha
60374,tiracchānakathika,tiracchāna + kathā + ika
60423,tirokaraṇī,tiro + √kar + aṇa + ī
59628,tettiṃsati,ti > te + tiṃsati
18218,dasasahassī,dasa + sahassī
18381,dāvaggi,dāva + aggi
19764,diṭṭhippatta,diṭṭhi + patta
19716,diṭṭhe dhamme,diṭṭhe + dhamme
19557,dina,√div + na
19546,dīghena addhunā,dīgha + ena + addhā + unā
20206,dukkhanirodhagāminīpaṭipadā,dukkha + nirodha + gāminī + paṭipadā
20234,dukkhappatta,dukkha + patta
20356,dunnimitta,dur + ni + √mā > mi + ta
18425,dehanissita,deha + nissita
19953,dovacassatā,dur > do + √vac + as + *ya + tā
18765,dhammagārava 2,dhamma + gārava
19157,dharamāna,dhara + māna
34932,nagaraguttika,nagara + guttika
37070,nijjīva 2,nir + √jīv + a
36741,niddārāmatā,niddā + ārāma + tā niddārāma + tā
36515,nibbhaya,nī + √bhī > bhay + *a
37814,nisajjaṃ kappeti,nisajjaṃ + kappeti
39925,paccūsa,pati > paty > pacc + ūsa
39784,pacchābāhaṃ,pacchā + bāhā + aṃ
41407,pañcatiṃsati,pañca + tiṃsati
41408,pañcatiṃsatima,pañca + tiṃsati + ma
41268,pañcadasa,pañca + dasa
41188,paṇāma,pa + √nam + *a
45793,pattidāna,patti + dāna
39392,pabbata 2,pabba + ta
39393,pabbata 3,pabba + ta
42879,parikkhā,pari + √khaṇ + *ā
44119,pāṭha 2,√paṭh + *a
42326,pārāpariyattheragāthā 3,pārāpariya + theragāthā
46924,piṭakattaya,piṭaka + taya
47925,puṭaṃsa,puṭa + aṃsa
47918,puṭa 2,√puṭ + a
47276,pubbabhāga 3,pubba + bhāga
13446,balappatta,bala + patta
13624,bāvīsati,dva > bā + vīsati
14251,bhavasāta,bhava + sāta
13775,bhāgya,√bhaj > bhag + *a + ya bhāga + ya
13982,bhārasutta,bhāra + sutta
14493,bhikkhugaṇanā,bhikkhu + gaṇanā
14740,bhujaga,bhuja + ga
32616,majjhimapaṭipadā,majjhima + paṭipadā
32242,mahaṇṇava,mahā + aṇṇava
32265,mahāpajāpati,mahā + pajāpatī
33970,micchatta 2,micchā + tta
34657,muṭṭhasacca,muṭṭha + sacca
34564,muninda,muni + inda
69764,yathāpaññatta,yathā + paññatta
69693,yathā yathā,ya + thā + ya + thā
70013,yobbañña,yuva > yobba + *ana + ya
48665,raṭṭhapāla,raṭṭha + pāla
48667,raṭṭhapālattheragāthā,raṭṭhapāla + theragāthā
48576,ratanattaya,ratana + taya
48932,rumhaniya,√ruh > rumh + aniya
31333,licchavi,licchavi
31542,lokapāla,loka + pāla
50239,sakha,sa + ka
49910,saggasaṃvattanika,sagga + saṃvattanika
53787,saṅkiliṭṭha,saṃ + √kilis + ta
53783,saṅkilesika,saṃ + √kilis > kiles + *a + ika<br/>saṅkilesa + ika
53359,saṅghakaraṇīya,saṅgha + karaṇīya
53490,sañjagghati,saṃ + jaggha + ti
53505,sañjaneti,saṃ + jane + ti
54009,saññita,saṃ + √ñā + ita
54901,satataṃ samitaṃ,satataṃ + samitaṃ
54989,sattabojjhaṅgā,satta + bojjhaṅga + ā
55133,sattavīsati,satta + vīsati
49690,saddhādeyya,saddhā + deyya
49733,saddhāvimutta,saddhā + vimutta
54246,santīraṇa,saṃ + √tir + *aṇa
53968,sannipātabahula,sannipāta + bahula
49295,sabbapāpa,sabba + pāpa
52262,sampavedhi,saṃ + pa + √vedh + i
51699,saṃkeḷāyati,saṃ + keḷāya + ti
49144,sa 2.1,so > sa
53487,sāṇipasibbaka,sāṇa > sāṇi + pasibbaka
54326,sāpateyya,sa > sā + √pat + *eyya
54340,sāpekkha,sa + apa + √ikkh + a sa + apekhā
51625,sāmīcipaṭipanna,sāmīci + paṭipanna
56289,sīsacchejja,sīsa + chejja
57947,susuddha,su + √sudh + ta
55490,seka,√sic > sek + *a
56521,sokasalla,soka + salla
66434,vidhinā,vi + √dhā + inā
66431,vidhi 1,vi + √dhā + i
67554,vinivijjhana,vi + ni + vijjha + ana
68148,visa,√vis + a
68343,visesādhigama,visesa + adhigama
68810,vivajjati,vi + vajja + ti
66014,verika 1,√vīr > ver + *ika
