id,pali_1,suffix
3541,ajjhūpagata,ta
8318,apaññatta 1,ta
825,abhipīḷita,ita
9950,asamapekkhita,ta
12587,avikkhitta,ta
12454,avigata,ta
61357,uddassetabba,tabba
23335,gila,ta
17078,chuḍḍha,ta
34862,nadita,ita
35241,namassanīya,anīya
36726,nidassita,ita
36705,nidāna 3,ana
40932,palitta,ta
33515,maritabba,itabba
48932,rumhaniya,aniya
53787,saṅkiliṭṭha,ta
53783,saṅkilesika,ika
52028,samosaṭa,ta
52124,sampalimaṭṭha,ta
56975,sudaṭṭha,ta
57634,supaṭippassaddha,ta
57739,supūjita,ita
64591,vajjetabba,tabba
66425,vidhāvita,ita
68973,vocarita,ta
68995,vodiṭṭha,ta
