word_id	word_lemma	checked
13370	icchānaṅkala	yes
35084	dhānañjānī	yes
75055	sāmaṃ 3	yes
39924	pañcāyatanasutta	yes
15926	upamā 2	yes
62436	sāragandha 2	yes
429	akkhuddāvakāsa	yes
28115	javana 3	yes
62797	sikhī 1	yes
7312	abbhisambuddhatta	yes
66716	vāceti 2	yes
19276	kacchanakhaloma	yes
51381	mandhāta	yes
64874	setādisa	yes
1812	aṭṭhasumedha	yes
6126	apaṭicchannakammanta	yes
12109	āmavasesa	yes
20697	kalyānakamyatā	yes
18841	orami	yes
35687	nanvāgameti	yes
36391	nābhikirati	yes
38902	nopadaṃseti	yes
42447	pabājesi 1	yes
58308	santetthekacce	yes
63444	sukkhaseyyā	yes
64154	suppatiṭṭhitapada	yes
59275	samatittika 2	yes
41861	pattakāyena	yes
57904	satthi 1.2	yes
69675	vihareyya
69675	vihareyya	sādhu me, bhante, bhagavā saṃkhittena dhammaṃ desetu, yam'ahaṃ bhagavato dhammaṃ sutvā ekā vūpakaṭṭhā appamattā ātāpinī pahit'attā <b>vihareyyan</b>'ti.	yadā tumhe attanā'va jāneyyātha, ime dhammā kusalā, ime dhammā anavajjā, ime dhammā viññuppasatthā, ime dhammā samattā samādinnā hitāya sukhāya saṃvattantī'ti, atha tumhe upasampajja <b>vihareyyātha</b>.	paṭikūlañ'ca appaṭikūlañ'ca tadubhayaṃ abhinivajjetvā upekkhako <b>vihareyyaṃ</b> sato sampajāno'ti, upekkhako tattha viharati sato sampajāno.
58265	santikamma 2
31594	thenī
